0311725165947372021010213177+43533-072950FM-15+0240KRUT V0201605N00465006405MN0160935N5+00105+00105999999ADDAA101000395AU110020015AW1615GA1025+003965999GA2075+006405999GA3085+008535999GD11991+0039659GD23991+0064059GD34991+0085359GE19MSL   +99999+99999GF199999999999003961999999MA1100585097745MW1615REMMET10901/02/21 08:17:02 METAR KRUT 021317Z 16009KT 10SM -RA FEW013 BKN021 OVC028 01/01 A2970 RMK AO2 P0001 FZRANO $
0276725165947372021010213567+43533-072950FM-15+0240KRUT V0201405N00415005495MN0112655N5+00065+00065100565ADDAA101000895AU110020015AW1615GA1085+005495999GD14991+0054959GE19MSL   +99999+99999GF199999999999005491999999MA1100545097715MW1615REMMET13601/02/21 08:56:02 METAR KRUT 021356Z 14008KT 7SM -RA OVC018 01/01 A2969 RMK AO2 RAE20B50UPB48E50SNB20E48 SLP056 P0003 T00060006 FZRANO $
0351725165947372021010214317+43533-072950FM-15+0240KRUT V0201705N00415006105MN0160935N5+00105+00105999999ADDAA101000595AU110020015AW1615GA1025+002135999GA2045+003665999GA3085+006105999GD11991+0021359GD22991+0036659GD34991+0061059GE19MSL   +99999+99999GF199999999999002131999999MA1100475097645MW1615OC100725REMMET14101/02/21 09:31:02 METAR KRUT 021431Z 17008G14KT 10SM -RA FEW007 SCT012 OVC020 01/01 A2967 RMK AO2 RAE1359B17UPB1359E02SNB02E17 P0002 FZRANO $
0375725165947372021010214567+43533-072950FM-15+0240KRUT V0201805N00155005795MN0160935N5+00115+00115100565ADDAA101000595AA203002091AU110020015AW1615GA1025+003965999GA2085+005795999GD11991+0039659GD24991+0057959GE19MSL   +99999+99999GF199999999999003961999999MA1100545097715MD1090039+9999MW1615REMMET16001/02/21 09:56:02 METAR KRUT 021456Z 18003KT 10SM -RA FEW013 OVC019 01/01 A2969 RMK AO2 RAE1359B17UPB1359E02SNB02E17 SLP056 P0002 60008 T00110011 50003 FZRANO $EQDQ01  00208PRCP03
0272725165947372021010215477+43533-072950FM-15+0240KRUT V0203505N00155003055MN0160935N5+00105+00105999999ADDAA101000021GA1075+003055999GA2085+003965999GD13991+0030551GD24991+0039659GE19MSL   +99999+99999GF199999999999003051999999MA1100585097745REMMET12401/02/21 10:47:02 METAR KRUT 021547Z 35003KT 10SM BKN010 OVC013 01/01 A2970 RMK AO2 RAE03UPB03E31 CIG 010V013 P0000 FZRANO $
0251725165947372021010215567+43533-072950FM-15+0240KRUT V0203605N00215003055MN0160935N5+00115+00115100615ADDAA101000021GA1085+003055999GD14991+0030551GE19MSL   +99999+99999GF199999999999003051999999MA1100585097745REMMET13401/02/21 10:56:02 METAR KRUT 021556Z 36004KT 10SM OVC010 01/01 A2970 RMK AO2 RAE03UPB03E31 CIG 009V013 SLP061 P0000 T00110011 FZRANO $
0203725165947372021010216387+43533-072950FM-15+0240KRUT V0200305N00265002445MN0160935N5+00105+00105999999ADDGA1085+002445999GD14991+0024451GE19MSL   +99999+99999GF199999999999002441999999MA1100515097675REMMET09701/02/21 11:38:02 METAR KRUT 021638Z 03005KT 10SM OVC008 01/01 A2968 RMK AO2 CIG 003V010 FZRANO $
0220725165947372021010216567+43533-072950FM-15+0240KRUT V0203205N00265002445MN0160935N5+00175+00175100565ADDGA1085+002445999GD14991+0024451GE19MSL   +99999+99999GF199999999999002441999999MA1100545097715REMMET11401/02/21 11:56:02 METAR KRUT 021656Z 32005KT 10SM OVC008 02/02 A2969 RMK AO2 CIG 006V013 SLP056 T00170017 FZRANO $
0229725165947372021010217117+43533-072950FM-15+0240KRUT V0202905N00315005795MN0160935N5+00205+00205999999ADDGA1045+003055999GA2085+005795999GD12991+0030559GD24991+0057959GE19MSL   +99999+99999GF199999999999003051999999MA1100585097745REMMET09201/02/21 12:11:02 METAR KRUT 021711Z 29006KT 10SM SCT010 OVC019 02/02 A2970 RMK AO2 FZRANO $
0291725165947372021010217417+43533-072950FM-15+0240KRUT V0203005N00465003055MN0160935N5+00205+00205999999ADDAA101000021AU110020015AW1615GA1075+003055999GA2085+004885999GD13991+0030551GD24991+0048859GE19MSL   +99999+99999GF199999999999003051999999MA1100685097845MW1615REMMET12001/02/21 12:41:02 METAR KRUT 021741Z 30009KT 10SM -RA BKN010 OVC016 02/02 A2973 RMK AO2 RAB33 CIG 008V013 P0000 FZRANO $
