0108997743999992023010406004+40650-074067FM-13+007299999V0201801N003119999999N999999999+01011+99999100871ADDMD1510071+9999OD159900411999REMSYN068ROBN4 46/// /1806 10101 40087 55007 90600 333 91208 555 11006 22006=
0108997743999992023010407004+40650-074067FM-13+007299999V0202201N000519999999N999999999+01061+99999100881ADDMD1610041+9999OD159900101999REMSYN068ROBN4 46/// /2201 10106 40088 56004 90700 333 91202 555 11001 22001=
0108997743999992023010408004+40650-074067FM-13+007299999V0202801N000519999999N999999999+01171+99999100891ADDMD1110071+9999OD159900101999REMSYN068ROBN4 46/// /2801 10117 40089 51007 90800 333 91202 555 11001 22001=
0108997743999992023010409004+40650-074067FM-13+007299999V0202701N003619999999N999999999+01201+99999100881ADDMD1410001+9999OD159900411999REMSYN068ROBN4 46/// /2707 10120 40088 54000 90900 333 91208 555 11007 22007=
0108997743999992023010410004+40650-074067FM-13+007299999V0202601N006719999999N999999999+01251+99999100901ADDMD1410001+9999OD159900821999REMSYN068ROBN4 46/// /2613 10125 40090 54000 91000 333 91216 555 11012 22013=
0108997743999992023010411004+40650-074067FM-13+007299999V0202701N006719999999N999999999+01231+99999100971ADDMD1310081+9999OD159900881999REMSYN068ROBN4 46/// /2713 10123 40097 53008 91100 333 91217 555 11012 22013=
0108997743999992023010412004+40650-074067FM-13+007299999V0202601N005719999999N999999999+01261+99999101051ADDMD1310171+9999OD159900671999REMSYN068ROBN4 46/// /2611 10126 40105 53017 91200 333 91213 555 11010 22011=
0108997743999992023010413004+40650-074067FM-13+007299999V0203001N003619999999N999999999+01211+99999101171ADDMD1310271+9999OD159900411999REMSYN068ROBN4 46/// /3007 10121 40117 53027 91300 333 91208 555 11006 22007=
0108997743999992023010414004+40650-074067FM-13+007299999V0202601N004119999999N999999999+01311+99999101281ADDMD1310311+9999OD159900411999REMSYN068ROBN4 46/// /2608 10131 40128 53031 91400 333 91208 555 11007 22008=
0108997743999992023010415004+40650-074067FM-13+007299999V0202501N000519999999N999999999+01361+99999101221ADDMD1990171+9999OD159900101999REMSYN068ROBN4 46/// /2501 10136 40122 50017 91500 333 91202 555 11001 22001=
0108997743999992023010416004+40650-074067FM-13+007299999V0201801N001519999999N999999999+01331+99999101221ADDMD1110051+9999OD159900261999REMSYN068ROBN4 46/// /1803 10133 40122 51005 91600 333 91205 555 11003 22003=
0108997743999992023010417004+40650-074067FM-13+007299999V0201401N004119999999N999999999+01461+99999101141ADDMD1810141+9999OD159900621999REMSYN068ROBN4 46/// /1408 10146 40114 58014 91700 333 91212 555 11007 22008=
0108997743999992023010418004+40650-074067FM-13+007299999V0201701N006719999999N999999999+01281+99999101061ADDMD1810161+9999OD159900671999REMSYN068ROBN4 46/// /1713 10128 40106 58016 91800 333 91213 555 11012 22013=
0108997743999992023010419004+40650-074067FM-13+007299999V0201801N006219999999N999999999+01331+99999101041ADDMD1610181+9999OD159900671999REMSYN068ROBN4 46/// /1812 10133 40104 56018 91900 333 91213 555 11011 22012=
0088997743999992023010420004+40650-074067FM-13+007299999V0201801N003619999999N999999999+01471+99999101011ADDOD159900361999REMSYN062ROBN4 46/// /1807 10147 40101 91942 333 91207 555 11006 22007=
0108997743999992023010421004+40650-074067FM-13+007299999V0201801N004619999999N999999999+01431+99999100981ADDMD1710081+9999OD159900571999REMSYN068ROBN4 46/// /1809 10143 40098 57008 92100 333 91211 555 11008 22009=
0108997743999992023010422004+40650-074067FM-13+007299999V0201601N005119999999N999999999+01381+99999101001ADDMD1610041+9999OD159900571999REMSYN068ROBN4 46/// /1610 10138 40100 56004 92200 333 91211 555 11009 22010=
0088997743999992023010423004+40650-074067FM-13+007299999V0201401N002619999999N999999999+01161+99999100921ADDOD159900411999REMSYN062ROBN4 46/// /1405 10116 40092 92242 333 91208 555 11005 22005=
0108997743999992023010500004+40650-074067FM-13+007299999V0201501N004119999999N999999999+01111+99999100971ADDMD1510001+9999OD159900511999REMSYN068ROBN4 46/// /1508 10111 40097 55000 90000 333 91210 555 11007 22008=
0108997743999992023010501004+40650-074067FM-13+007299999V0201501N001519999999N999999999+01081+99999100901ADDMD1610101+9999OD159900261999REMSYN068ROBN4 46/// /1503 10108 40090 56010 90100 333 91205 555 11002 22003=
0108997743999992023010502004+40650-074067FM-13+007299999V0201501N002619999999N999999999+01211+99999100911ADDMD1990001+9999OD159900311999REMSYN068ROBN4 46/// /1505 10121 40091 50000 90200 333 91206 555 11004 22005=
0108997743999992023010503004+40650-074067FM-13+007299999V0201401N002619999999N999999999+01161+99999100921ADDMD1610051+9999OD159900311999REMSYN068ROBN4 46/// /1405 10116 40092 56005 90300 333 91206 555 11005 22005=
