date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2023-10-14,2707700,2001000,SSW,30.0,2500.0
2023-10-15,269800,500000,SSW,33.0,2400.0
2023-10-16,2809100,1772400,SSW,27.0,2100.0
2023-10-17,198600,255400,SSW,11.0,2700.0
2023-10-18,29800,74300,S,5.0,2700.0
2023-10-19,12600,26600,—,-,-
2023-10-20,13000,44500,—,-,-
2023-10-21,33700,84500,ESE,22.0,1900.0
2023-10-22,187700,306000,S,27.0,1600.0
2023-10-23,5734500,4463400,SSW,21.0,3200.0
2023-10-24,16600,39500,—,-,-
2023-10-25,29300,51800,SE,7.0,2000.0
2023-10-26,102400,195600,SW,10.0,2100.0
2023-10-27,35700,40700,—,-,-
2023-10-28,4999100,2857500,SSW,32.0,1800.0
2023-10-29,18400,140700,SW,13.0,1500.0
2023-10-30,145300,118500,S,24.0,1500.0
2023-10-31,522200,441900,SSW,22.0,2300.0
2023-11-01,159100,131600,S,22.0,2100.0
2023-11-02,1000,10800,—,-,-
2023-11-03,900,49000,ESE,7.0,3700.0
2023-11-04,92800,125100,SSE,10.0,800.0
2023-11-05,1100700,629000,SSW,30.0,1800.0
2023-11-06,700,58700,WSW,8.0,2100.0
2023-11-07,86000,65800,SE,19.0,1300.0
2023-11-08,111800,106800,SSW,28.0,2500.0
2023-11-09,8900,24400,—,-,-
2023-11-10,48500,162400,SE,18.0,2200.0
2023-11-11,148100,118100,S,23.0,2300.0
2023-11-12,82100,58900,SSW,22.0,1800.0
2023-11-13,5900,41400,—,-,-
2023-11-14,35000,42300,—,-,-
2023-11-15,-,-,-,-,-
2024-03-01,16300,31100,—,-,-
2024-03-02,900,50100,NNE,13.0,2800.0
2024-03-03,3300,18200,—,-,-
2024-03-04,22000,39300,—,-,-
2024-03-05,4800,30100,—,-,-
2024-03-06,100,77800,NNE,4.0,2000.0
2024-03-07,300,11700,—,-,-
2024-03-08,96100,68000,NNE,30.0,1700.0
2024-03-09,3100,21900,—,-,-
2024-03-10,400,304700,NE,13.0,3600.0
2024-03-11,400,3100,—,-,-
2024-03-12,4700,30200,—,-,-
2024-03-13,94200,93700,NNE,19.0,1400.0
2024-03-14,19000,244000,NE,5.0,2000.0
2024-03-15,15200,65500,NNE,14.0,2200.0
2024-03-16,150600,1255900,NNE,27.0,5000.0
2024-03-17,29500,36700,—,-,-
2024-03-18,2500,47300,—,-,-
2024-03-19,11200,63900,NW,5.0,3700.0
2024-03-20,800,16400,—,-,-
2024-03-21,400,3000,—,-,-
2024-03-22,300,8400,—,-,-
2024-03-23,100,14000,—,-,-
2024-03-24,1500,12800,—,-,-
2024-03-25,17600,25500,—,-,-
2024-03-26,10100,15800,—,-,-
2024-03-27,13400,28400,—,-,-
2024-03-28,600,5600,—,-,-
2024-03-29,2900,8100,—,-,-
2024-03-30,35100,53700,NE,14.0,1300.0
2024-03-31,541800,426700,NNE,25.0,1400.0
2024-04-01,54700,119300,NE,12.0,2000.0
2024-04-02,153400,166700,N,26.0,2000.0
2024-04-03,1800,24500,—,-,-
2024-04-04,1200,213500,N,12.0,1600.0
2024-04-05,200,52800,N,16.0,4200.0
2024-04-06,300,105300,N,12.0,3700.0
2024-04-07,162800,143900,NNE,23.0,1000.0
2024-04-08,2448400,1673700,NE,23.0,900.0
2024-04-09,7531600,3884500,NNE,36.0,2500.0
2024-04-10,167400,115900,NNE,24.0,1800.0
2024-04-11,35100,44000,—,-,-
2024-04-12,575000,471100,NNE,44.0,1500.0
2024-04-13,7300,92800,ENE,17.0,2000.0
2024-04-14,302500,314500,NE,21.0,1300.0
2024-04-15,482500,414200,NE,24.0,1300.0
2024-04-16,84400,143800,NE,16.0,2600.0
2024-04-17,777800,830100,NNE,27.0,3500.0
2024-04-18,44300,291400,NNE,18.0,3200.0
2024-04-19,962300,911200,NNE,39.0,1100.0
2024-04-20,91200,88900,NE,24.0,1400.0
2024-04-21,44000,89200,NE,17.0,1500.0
2024-04-22,1540300,775100,NNE,32.0,1600.0
2024-04-23,3892600,2957400,NNE,39.0,2100.0
2024-04-24,500,1700,—,-,-
2024-04-25,179300,205700,NE,17.0,1500.0
2024-04-26,2903900,1741600,NNE,25.0,2800.0
2024-04-27,900000,1298900,NE,31.0,2300.0
2024-04-28,10500,58500,ENE,20.0,1600.0
2024-04-29,2689500,2256100,NNE,30.0,3100.0
2024-04-30,2800,52600,ENE,9.0,1600.0
2024-05-01,7336000,5866900,NNE,35.0,1800.0
2024-05-02,61000,167200,NNE,6.0,1800.0
2024-05-03,6262600,4277100,NNE,25.0,2600.0
2024-05-04,1131200,914400,N,30.0,1900.0
2024-05-05,15000,38400,—,-,-
2024-05-06,287900,305800,ENE,21.0,1100.0
2024-05-07,5285900,4044400,NNE,27.0,2300.0
2024-05-08,19200,71900,ENE,26.0,900.0
2024-05-09,486300,811800,N,14.0,1400.0
2024-05-10,2341200,1821300,NNE,21.0,2000.0
2024-05-11,1436300,962500,NNE,29.0,2200.0
2024-05-12,2139000,1489000,NE,25.0,800.0
2024-05-13,1815000,3449100,NNE,39.0,1700.0
2024-05-14,4205100,5042700,NE,28.0,2600.0
2024-05-15,426600,819100,N,23.0,1700.0
2024-05-16,436600,537200,N,19.0,2600.0
2024-05-17,745000,660000,NE,23.0,1600.0
2024-05-18,515300,490600,NE,24.0,2800.0
2024-05-19,1920100,1058100,NE,32.0,1700.0
2024-05-20,3993900,1914300,NE,33.0,2400.0
2024-05-21,2796600,1601600,NE,37.0,1900.0
2024-05-22,2479200,1603100,NE,37.0,1600.0
2024-05-23,673600,580500,NE,29.0,1700.0
2024-05-24,97700,139100,NE,18.0,1200.0
2024-05-25,848200,752700,NNE,18.0,1900.0
2024-05-26,716200,762800,N,27.0,4000.0
2024-05-27,134100,163600,NE,32.0,2600.0
2024-05-28,78100,236900,ENE,23.0,1300.0
2024-05-29,48300,96800,NE,12.0,2700.0
2024-05-30,56300,73400,NE,16.0,1400.0
2024-05-31,167600,178200,NNE,21.0,1500.0
2024-06-01,535200,379400,NNE,24.0,2200.0
2024-06-02,153000,213200,NE,19.0,3300.0
2024-06-03,107800,177600,N,12.0,3100.0
2024-06-04,165300,202500,NNE,17.0,2100.0
2024-06-05,122400,147600,NNE,23.0,1800.0
2024-06-06,19200,70100,NE,14.0,1100.0
2024-06-07,18700,90300,NE,18.0,1400.0
2024-06-08,33200,37000,—,-,-
2024-06-09,21000,46000,—,-,-
2024-06-10,800,3200,—,-,-
2024-06-11,3500,14100,—,-,-
2024-06-12,20700,27900,—,-,-
2024-06-13,65200,71200,NNE,31.0,1300.0
2024-06-14,200,9100,—,-,-
2024-06-15,-,-,-,-,-
2024-08-01,230300,257600,S,13.0,2300.0
2024-08-02,3900,106800,SE,10.0,1000.0
2024-08-03,40000,92500,S,7.0,3100.0
2024-08-04,145200,169700,SSE,17.0,1900.0
2024-08-05,111600,178300,SSW,18.0,2100.0
2024-08-06,86700,196300,SW,11.0,1900.0
2024-08-07,271300,311100,SW,21.0,2400.0
2024-08-08,500,31800,—,-,-
2024-08-09,9800,31100,—,-,-
2024-08-10,153500,244600,SE,14.0,1300.0
2024-08-11,11400,31900,—,-,-
2024-08-12,666700,504700,S,24.0,2500.0
2024-08-13,685600,574300,SSW,23.0,2800.0
2024-08-14,112000,264900,SW,12.0,1700.0
2024-08-15,392700,640500,SW,15.0,1800.0
2024-08-16,11600,32500,—,-,-
2024-08-17,400,68300,SSE,6.0,1700.0
2024-08-18,700,41000,—,-,-
2024-08-19,285300,323000,S,26.0,1800.0
2024-08-20,437700,1193700,S,26.0,1500.0
2024-08-21,57100,116500,SE,13.0,3700.0
2024-08-22,789700,892100,S,17.0,1800.0
2024-08-23,695400,1081700,S,13.0,1400.0
2024-08-24,704100,824000,SW,15.0,2000.0
2024-08-25,923600,1072500,SW,14.0,1800.0
2024-08-26,2398800,2359700,SW,21.0,2300.0
2024-08-27,8400,23200,—,-,-
2024-08-28,5251600,3174100,SW,30.0,1600.0
2024-08-29,1239600,1516200,WSW,20.0,1600.0
2024-08-30,2300,16800,—,-,-
2024-08-31,9500,18100,—,-,-
2024-09-01,2258100,1529400,SSW,24.0,1300.0
