date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2024-05-22,1591800,651800,NE,36.0,1600.0
2024-05-23,253300,166000,NE,18.0,1400.0
2024-05-24,289400,264400,ENE,23.0,1300.0
2024-05-25,259300,319500,NNE,20.0,1700.0
2024-05-26,125700,232000,N,21.0,1700.0
2024-05-27,308400,227300,ENE,28.0,800.0
2024-05-28,22700,76000,E,26.0,1500.0
2024-05-29,12300,81500,NE,11.0,1900.0
2024-05-30,800,29200,—,-,-
2024-05-31,155100,213300,ENE,14.0,800.0
2024-06-01,429400,451800,NE,21.0,1200.0
2024-06-02,150500,349900,NE,16.0,900.0
2024-06-03,124200,429300,NW,10.0,1100.0
2024-06-04,84600,196800,NNW,13.0,1200.0
2024-06-05,33400,131500,NNE,22.0,900.0
2024-06-06,59900,190600,ENE,17.0,1900.0
2024-06-07,3100,27300,—,-,-
2024-06-08,57900,150300,ENE,11.0,1400.0
2024-06-09,3800,42200,E,20.0,1700.0
2024-06-10,1500,41700,ENE,12.0,2000.0
2024-06-11,28600,133500,NE,6.0,1000.0
2024-06-12,108000,255900,NNE,12.0,800.0
2024-06-13,135500,155100,NNE,24.0,1200.0
2024-06-14,2000,59200,WNW,11.0,3000.0
2024-08-01,30800,53800,SSE,11.0,4500.0
2024-08-02,20700,104900,SE,10.0,1200.0
2024-08-03,16000,300700,S,7.0,1500.0
2024-08-04,126000,165600,S,13.0,1600.0
2024-08-05,4000,19700,—,-,-
2024-08-06,13700,204400,SE,10.0,1900.0
2024-08-07,183700,244500,WSW,20.0,1100.0
2024-08-08,100,56400,SW,7.0,1400.0
2024-08-09,55400,93900,SE,16.0,1600.0
2024-08-10,988600,819100,S,16.0,1500.0
2024-08-11,402100,423900,SSE,17.0,1300.0
2024-08-12,1059800,704600,S,22.0,1600.0
2024-08-13,1019600,730000,SSW,21.0,2600.0
2024-08-14,517800,504500,SSW,18.0,2500.0
2024-08-15,132200,251100,S,11.0,1600.0
2024-08-16,1300,14400,—,-,-
2024-08-17,200,44500,SSE,8.0,1400.0
2024-08-18,35200,142600,SSW,3.0,1300.0
2024-08-19,1493700,1099400,S,25.0,2200.0
2024-08-20,2722700,1502700,SSW,25.0,2100.0
2024-08-21,852100,678200,S,18.0,1800.0
2024-08-22,654700,663700,SSW,16.0,1700.0
2024-08-23,232600,193900,SSW,13.0,2800.0
2024-08-24,290500,262500,SW,21.0,4300.0
2024-08-25,85100,101000,S,15.0,3500.0
2024-08-26,5391800,3639700,SSW,23.0,1700.0
2024-08-27,91800,156100,SSE,18.0,5100.0
2024-08-28,2458700,1369100,SSW,25.0,1500.0
2024-08-29,315300,545300,WSW,20.0,1500.0
2024-08-30,194400,188100,SSW,14.0,1300.0
2024-08-31,28100,45500,ESE,15.0,1700.0
2024-09-01,2822600,2284800,S,24.0,1300.0
2024-09-02,10177600,3871200,SSW,36.0,1800.0
2024-09-03,748300,617700,SW,19.0,2800.0
2024-09-04,122800,174500,WSW,13.0,2800.0
2024-09-05,180500,175400,WSW,13.0,1500.0
2024-09-06,11900,50400,WSW,10.0,1900.0
2024-09-07,1615300,872800,SSE,24.0,2000.0
2024-09-08,1367900,1032400,SSE,19.0,1600.0
2024-09-09,55800,51200,SE,22.0,1500.0
2024-09-10,7760200,4687700,SW,24.0,1600.0
2024-09-11,415100,505700,SSW,16.0,3400.0
2024-09-12,105200,133700,SW,11.0,3100.0
